Date,Product,Region,Sales,Customer_Age,Customer_Gender,Customer_Satisfaction
2024-05-10,Widget B,East,787,51,Male,4.1
2025-07-18,Widget A,South,409,55,Female,3.3
2025-02-04,Widget D,West,902,43,Female,1.3
2024-12-31,Widget B,South,578,35,Female,4.6
2026-06-27,Widget C,North,155,45,Female,1.1
2027-12-10,Widget A,West,719,68,Female,4.0
2023-04-12,Widget C,East,572,26,Male,4.0
2025-05-23,Widget A,East,395,49,Female,4.8
2022-11-27,Widget D,East,560,23,Male,1.2
2026-01-22,Widget D,West,423,31,Male,3.4
2027-11-06,Widget A,South,913,45,Female,2.7
2022-05-11,Widget A,West,945,41,Female,2.3
2026-08-13,Widget A,West,240,30,Female,1.4
2024-02-09,Widget D,North,766,60,Female,3.3
2028-07-19,Widget B,West,361,29,Female,2.9
2026-02-24,Widget C,East,884,68,Male,1.4
2028-08-30,Widget C,South,519,36,Male,3.4
2025-04-30,Widget D,South,843,38,Male,4.0
2024-08-13,Widget C,South,340,44,Female,4.1
2028-05-13,Widget A,East,454,36,Female,4.6
2025-03-30,Widget B,East,948,41,Male,2.6
2023-04-05,Widget C,East,869,43,Female,4.8
2022-01-22,Widget B,East,860,62,Female,4.5
2028-04-19,Widget A,East,688,45,Female,2.2
2024-01-18,Widget C,West,279,63,Male,1.6
2023-04-20,Widget D,East,165,35,Female,2.7
2024-12-18,Widget B,East,919,61,Male,2.6
2027-08-10,Widget A,East,447,53,Female,3.3
2024-09-02,Widget B,East,270,59,Female,3.3
2026-12-12,Widget C,South,573,46,Male,4.0
2022-07-09,Widget C,East,633,34,Female,3.0
2023-07-17,Widget D,West,466,21,Female,1.4
2027-03-15,Widget A,West,206,61,Female,4.4
2025-06-21,Widget A,West,538,62,Male,2.2
2026-03-09,Widget D,North,934,46,Female,4.9
2023-10-09,Widget D,South,326,21,Female,1.5
2027-08-31,Widget A,East,543,27,Female,4.8
2028-01-24,Widget B,North,541,42,Female,1.4
2025-07-21,Widget B,East,495,48,Female,1.9
2028-09-01,Widget D,North,827,20,Male,1.2
2023-08-24,Widget B,North,680,64,Male,3.8
2028-06-21,Widget A,West,183,19,Female,4.4
2027-08-24,Widget C,West,714,42,Female,2.7
2022-08-30,Widget C,North,650,66,Male,4.7
2027-08-04,Widget B,West,112,23,Female,3.4
2025-09-25,Widget D,North,908,43,Female,3.5
2027-11-10,Widget D,South,924,25,Female,4.4
2025-10-22,Widget D,West,792,52,Female,2.2
2026-01-18,Widget D,West,592,44,Female,2.4
2024-02-15,Widget D,West,367,42,Female,4.6
2022-02-04,Widget B,South,624,35,Female,4.6
2028-03-03,Widget C,North,219,18,Female,4.9
2027-05-10,Widget C,East,452,65,Male,4.6
2026-05-05,Widget B,West,156,56,Male,1.5
2024-10-18,Widget D,North,139,20,Female,4.3
2025-02-03,Widget B,South,985,21,Female,2.6
2026-02-09,Widget C,East,435,58,Female,5.0
2023-12-04,Widget A,West,739,54,Female,2.9
2028-09-15,Widget B,South,272,68,Male,3.2
2026-04-29,Widget D,South,646,32,Male,3.1
2022-06-11,Widget C,East,358,25,Male,2.3
2022-07-21,Widget C,North,987,55,Male,1.3
2027-06-05,Widget C,West,616,67,Female,4.6
2024-09-22,Widget C,West,829,36,Female,4.2
2028-05-06,Widget D,North,622,64,Female,1.6
2024-03-26,Widget A,North,993,43,Male,4.1
2023-04-01,Widget C,North,938,56,Female,3.5
2025-06-29,Widget B,East,216,27,Female,2.6
2024-10-13,Widget A,East,283,55,Male,2.0
2028-06-01,Widget C,West,973,31,Male,4.4
2022-12-04,Widget A,East,215,66,Male,3.8
2024-05-28,Widget B,South,261,58,Male,3.2
2024-12-12,Widget C,West,678,36,Male,3.4
2024-03-02,Widget B,East,811,47,Female,1.4
2028-03-14,Widget D,North,642,22,Female,2.9
2024-02-03,Widget C,South,686,48,Male,1.8
2028-02-14,Widget C,North,336,24,Female,1.8
2023-01-15,Widget C,West,938,36,Female,3.6
2023-05-08,Widget C,North,165,48,Female,4.6
2025-03-26,Widget D,East,169,69,Female,2.6
2027-08-25,Widget C,East,908,56,Male,1.8
2022-03-06,Widget A,West,546,41,Female,3.6
2025-09-29,Widget C,North,515,51,Female,4.5
2025-02-26,Widget D,West,631,40,Female,4.0
2027-07-21,Widget C,North,540,65,Male,4.5
2026-02-04,Widget A,South,837,62,Female,3.1
2025-03-08,Widget D,East,563,57,Male,4.0
2026-03-03,Widget D,West,495,23,Male,1.6
2023-01-27,Widget A,South,810,55,Male,2.4
